X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),LOS APs
2.0,0.0,100000.0,4204.0,10716.0,25882.0,28766.0,-200.0,-68.0,-67.0,-95.0,-89.0,
2.0,0.0,100000.0,4241.0,10841.0,25482.0,29044.0,-200.0,-64.0,-70.0,-94.0,-89.0,
2.0,0.0,100000.0,4204.0,10144.0,100000.0,29579.0,-200.0,-65.0,-71.0,-200.0,-89.0,
2.0,0.0,100000.0,4235.0,10763.0,25291.0,28682.0,-200.0,-66.0,-68.0,-89.0,-88.0,
2.0,0.0,100000.0,4354.0,10465.0,25798.0,28698.0,-200.0,-66.0,-70.0,-89.0,-89.0,
2.0,0.0,100000.0,4204.0,10680.0,25995.0,28657.0,-200.0,-67.0,-68.0,-89.0,-89.0,
2.0,0.0,100000.0,4316.0,10732.0,26035.0,28463.0,-200.0,-66.0,-68.0,-89.0,-90.0,
2.0,0.0,100000.0,4269.0,10673.0,25788.0,28735.0,-200.0,-67.0,-69.0,-90.0,-90.0,
2.0,0.0,100000.0,4241.0,10601.0,25829.0,28770.0,-200.0,-68.0,-69.0,-90.0,-89.0,
2.0,0.0,100000.0,4279.0,10101.0,25791.0,28648.0,-200.0,-67.0,-69.0,-91.0,-89.0,
2.0,0.0,100000.0,4163.0,10638.0,25529.0,29360.0,-200.0,-66.0,-70.0,-92.0,-87.0,
2.0,0.0,100000.0,4079.0,11055.0,25757.0,29082.0,-200.0,-65.0,-69.0,-89.0,-90.0,
2.0,0.0,100000.0,4204.0,10751.0,25869.0,28916.0,-200.0,-65.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4207.0,10645.0,25849.0,28845.0,-200.0,-69.0,-68.0,-89.0,-88.0,
2.0,0.0,100000.0,4154.0,10725.0,25841.0,28920.0,-200.0,-68.0,-68.0,-87.0,-87.0,
2.0,0.0,100000.0,4279.0,10816.0,25798.0,29357.0,-200.0,-66.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4313.0,10327.0,25957.0,28491.0,-200.0,-66.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4279.0,10535.0,25882.0,28416.0,-200.0,-66.0,-68.0,-87.0,-88.0,
2.0,0.0,100000.0,4276.0,10635.0,25832.0,28535.0,-200.0,-66.0,-68.0,-87.0,-88.0,
2.0,0.0,100000.0,4119.0,10807.0,25916.0,28651.0,-200.0,-66.0,-68.0,-87.0,-89.0,
2.0,0.0,100000.0,4157.0,10841.0,25916.0,28888.0,-200.0,-66.0,-68.0,-87.0,-89.0,
2.0,0.0,100000.0,4154.0,10699.0,25654.0,28966.0,-200.0,-67.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4204.0,10638.0,25643.0,28929.0,-200.0,-68.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4241.0,10491.0,25757.0,28866.0,-200.0,-67.0,-69.0,-87.0,-89.0,
2.0,0.0,100000.0,4191.0,10401.0,25594.0,28969.0,-200.0,-67.0,-68.0,-87.0,-90.0,
2.0,0.0,100000.0,4201.0,10488.0,25957.0,29041.0,-200.0,-67.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4157.0,10594.0,25829.0,29079.0,-200.0,-67.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4316.0,10604.0,26029.0,28960.0,-200.0,-67.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4129.0,10380.0,25719.0,28766.0,-200.0,-68.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4160.0,10467.0,25910.0,28607.0,-200.0,-69.0,-69.0,-88.0,-88.0,
2.0,0.0,100000.0,4263.0,10690.0,25879.0,29004.0,-200.0,-68.0,-69.0,-87.0,-89.0,
2.0,0.0,100000.0,4354.0,10716.0,26107.0,28695.0,-200.0,-66.0,-70.0,-86.0,-89.0,
2.0,0.0,100000.0,4316.0,10685.0,25995.0,28695.0,-200.0,-68.0,-69.0,-88.0,-89.0,
2.0,0.0,100000.0,4195.0,10635.0,25882.0,28845.0,-200.0,-68.0,-68.0,-88.0,-87.0,
2.0,0.0,100000.0,4316.0,10366.0,25991.0,29160.0,-200.0,-66.0,-68.0,-88.0,-87.0,
2.0,0.0,100000.0,4229.0,10488.0,25995.0,28563.0,-200.0,-68.0,-68.0,-88.0,-87.0,
2.0,0.0,100000.0,4266.0,10699.0,26076.0,28760.0,-200.0,-68.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4316.0,10716.0,25876.0,29316.0,-200.0,-65.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4204.0,10372.0,26179.0,28776.0,-200.0,-66.0,-68.0,-88.0,-89.0,
2.0,0.0,100000.0,4082.0,10407.0,25876.0,28957.0,-200.0,-66.0,-69.0,-88.0,-90.0,
2.0,0.0,100000.0,4126.0,10679.0,25960.0,29110.0,-200.0,-65.0,-69.0,-88.0,-89.0,
2.0,0.0,100000.0,4204.0,10841.0,25598.0,29191.0,-200.0,-66.0,-68.0,-89.0,-88.0,
2.0,0.0,100000.0,4123.0,10926.0,25766.0,29198.0,-200.0,-67.0,-67.0,-90.0,-87.0,
2.0,0.0,100000.0,4198.0,10807.0,25641.0,29245.0,-200.0,-66.0,-68.0,-90.0,-87.0,
2.0,0.0,100000.0,4113.0,10804.0,26841.0,28957.0,-200.0,-66.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4079.0,10638.0,25804.0,28726.0,-200.0,-65.0,-69.0,-87.0,-89.0,
2.0,0.0,100000.0,4229.0,10451.0,25885.0,28535.0,-200.0,-65.0,-69.0,-87.0,-89.0,
2.0,0.0,100000.0,4276.0,10601.0,25729.0,29163.0,-200.0,-68.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4195.0,10754.0,25957.0,29276.0,-200.0,-68.0,-68.0,-89.0,-87.0,
2.0,0.0,100000.0,4313.0,10873.0,25826.0,29038.0,-200.0,-67.0,-68.0,-89.0,-87.0,
2.0,0.0,100000.0,4276.0,10798.0,25757.0,29010.0,-200.0,-68.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4363.0,10679.0,25766.0,28963.0,-200.0,-67.0,-68.0,-88.0,-88.0,
2.0,0.0,100000.0,4351.0,10604.0,25760.0,29048.0,-200.0,-67.0,-68.0,-87.0,-88.0,
2.0,0.0,100000.0,4204.0,10704.0,25760.0,29154.0,-200.0,-68.0,-69.0,-87.0,-88.0,
2.0,1.0,100000.0,3110.0,9206.0,27829.0,29327.0,-200.0,-62.0,-67.0,-95.0,-91.0,
2.0,1.0,100000.0,3204.0,10256.0,27401.0,30376.0,-200.0,-64.0,-71.0,-96.0,-92.0,
2.0,1.0,100000.0,3013.0,9129.0,27581.0,30016.0,-200.0,-64.0,-67.0,-96.0,-93.0,
2.0,1.0,100000.0,3054.0,10413.0,28594.0,30673.0,-200.0,-64.0,-70.0,-95.0,-90.0,
2.0,1.0,100000.0,3687.0,10301.0,28603.0,30420.0,-200.0,-66.0,-68.0,-94.0,-90.0,
2.0,1.0,100000.0,2716.0,10223.0,29163.0,30610.0,-200.0,-66.0,-69.0,-94.0,-89.0,
2.0,1.0,100000.0,3057.0,10257.0,27916.0,30910.0,-200.0,-66.0,-68.0,-94.0,-88.0,
2.0,1.0,100000.0,2804.0,9004.0,27129.0,29020.0,-200.0,-63.0,-68.0,-96.0,-90.0,
2.0,1.0,100000.0,3660.0,10376.0,27508.0,29008.0,-200.0,-66.0,-71.0,-94.0,-90.0,
2.0,1.0,100000.0,2760.0,9126.0,27930.0,28720.0,-200.0,-66.0,-69.0,-96.0,-88.0,
2.0,1.0,100000.0,3135.0,10373.0,29038.0,30410.0,-200.0,-63.0,-69.0,-94.0,-92.0,
2.0,1.0,100000.0,2916.0,9129.0,27933.0,30713.0,-200.0,-66.0,-67.0,-96.0,-91.0,
2.0,1.0,100000.0,2757.0,10366.0,28420.0,30763.0,-200.0,-65.0,-70.0,-98.0,-93.0,
2.0,1.0,100000.0,2876.0,9044.0,27898.0,29238.0,-200.0,-65.0,-68.0,-97.0,-92.0,
2.0,1.0,100000.0,3154.0,9832.0,27166.0,28751.0,-200.0,-65.0,-70.0,-95.0,-92.0,
2.0,1.0,100000.0,3382.0,9076.0,27750.0,28805.0,-200.0,-65.0,-69.0,-97.0,-91.0,
